Model;Baseline;Timepoint;Timepoint LinReg;Timepoint GBR;Timepoint RF;Donor LinReg;Donor GBR;Donor RF;OT LinReg;OT GBR;OT RF;Oversampling Donor LinReg;Oversampling Donor GBR;Oversampling Donor RF;Timpoint Binary LogReg;Timpoint Binary GBRegressor
PCA;Recall@5: 0.00;S1;Recall@5: 0.20;Recall@5: 0.20;Recall@5: 0.00;Recall@5: 0.40;Recall@5: 0.00;Recall@5: 0.00;Recall@5: 0.80;Recall@5: 0.80;Recall@5: 0.80;Recall@5: 0.20;Recall@5: 0.00;Recall@5: 0.00;Recall@5: 0.60;Recall@5: 0.60
PCA;MSE: 0.05799181014299393;S1;MSE: 0.033736078214546564;MSE: 0.04077866010989528;MSE: 0.036797847936453264;MSE: 0.020656658525175405;MSE: 0.026777542900122766;MSE: 0.02635067678620298;MSE: 0.00802281592041254;MSE: 0.0071053079167978225;MSE: 0.00747863253672222;MSE: 0.16994336486826764;MSE: 0.03855413037658725;MSE: 0.035995799607513077;MSE: 0.028985507246376812;MSE: 0.028985507246376812
PCA;Mean Clonotype Activation: -0.0110;S1;MSE- Clonotype mean: 0.033736078214546564;MSE- Clonotype mean: 0.04077866010989528;MSE- Clonotype mean: 0.036797847936453264;MSE- Clonotype mean: 0.020656658525175405;MSE- Clonotype mean: 0.026777542900122766;MSE- Clonotype mean: 0.02635067678620298;MSE- Clonotype mean: 0.00802281592041254;MSE- Clonotype mean: 0.0071053079167978225;MSE- Clonotype mean: 0.00747863253672222;MSE- Clonotype mean: 0.16994336486826764;MSE- Clonotype mean: 0.03855413037658725;MSE- Clonotype mean: 0.035995799607513077;MSE- Clonotype mean: 0.028985507246376812;MSE- Clonotype mean: 0.028985507246376812
PCA;Mean Clonotype Activation Predicted: -0.0216;S1;Mean Clonotype Activation: -0.0136;Mean Clonotype Activation: -0.0136;Mean Clonotype Activation: -0.0136;Mean Clonotype Activation: -0.0823;Mean Clonotype Activation: -0.0823;Mean Clonotype Activation: -0.0823;Mean Clonotype Activation: -0.0136;Mean Clonotype Activation: -0.0136;Mean Clonotype Activation: -0.0136;Mean Clonotype Activation: -0.0823;Mean Clonotype Activation: -0.0823;Mean Clonotype Activation: -0.0823;Mean Clonotype Activation: 0.0290;Mean Clonotype Activation: 0.0290
PCA;;S1;Mean Clonotype Activation Predicted: -0.0376;Mean Clonotype Activation Predicted: -0.0363;Mean Clonotype Activation Predicted: -0.0363;Mean Clonotype Activation Predicted: -0.0277;Mean Clonotype Activation Predicted: -0.0196;Mean Clonotype Activation Predicted: -0.0082;Mean Clonotype Activation Predicted: -0.0280;Mean Clonotype Activation Predicted: -0.0325;Mean Clonotype Activation Predicted: -0.0287;Mean Clonotype Activation Predicted: 0.1482;Mean Clonotype Activation Predicted: -0.0094;Mean Clonotype Activation Predicted: -0.0035;Mean Clonotype Activation Predicted: 0.0000;Mean Clonotype Activation Predicted: 0.0000
PCA;;S1;MSE for bottom 25% (low-responding clones): 0.0214;MSE for bottom 25% (low-responding clones): 0.0376;MSE for bottom 25% (low-responding clones): 0.0299;MSE for bottom 25% (low-responding clones): 0.0498;MSE for bottom 25% (low-responding clones): 0.0706;MSE for bottom 25% (low-responding clones): 0.0705;MSE for bottom 25% (low-responding clones): 0.0070;MSE for bottom 25% (low-responding clones): 0.0077;MSE for bottom 25% (low-responding clones): 0.0104;MSE for bottom 25% (low-responding clones): 0.2706;MSE for bottom 25% (low-responding clones): 0.0868;MSE for bottom 25% (low-responding clones): 0.0850;MSE for bottom 25% (low-responding clones): 0.0000;MSE for bottom 25% (low-responding clones): 0.0000
PCA;;S1;MSE for top 25% (high-responding clones): 0.0969;MSE for top 25% (high-responding clones): 0.1040;MSE for top 25% (high-responding clones): 0.1007;MSE for top 25% (high-responding clones): 0.0157;MSE for top 25% (high-responding clones): 0.0153;MSE for top 25% (high-responding clones): 0.0136;MSE for top 25% (high-responding clones): 0.0180;MSE for top 25% (high-responding clones): 0.0147;MSE for top 25% (high-responding clones): 0.0135;MSE for top 25% (high-responding clones): 0.1226;MSE for top 25% (high-responding clones): 0.0168;MSE for top 25% (high-responding clones): 0.0174;MSE for top 25% (high-responding clones): 0.1111;MSE for top 25% (high-responding clones): 0.1111
PCA;Recall@5: 0.00;T1;Recall@5: 0.20;Recall@5: 0.40;Recall@5: 0.00;Recall@5: 0.40;Recall@5: 0.00;Recall@5: 0.20;Recall@5: 0.80;Recall@5: 0.80;Recall@5: 1.00;Recall@5: 0.40;Recall@5: 0.20;Recall@5: 0.20;Recall@5: 0.20;Recall@5: 0.20
PCA;MSE: 0.11363061517477036;T1;MSE: 0.05511732182275641;MSE: 0.06671285055402573;MSE: 0.05910985472344164;MSE: 0.06540583261318898;MSE: 0.08333105320163794;MSE: 0.06982378165022889;MSE: 0.0076460749842226505;MSE: 0.009450763516930789;MSE: 0.011958109299333875;MSE: 0.13332936161587058;MSE: 0.07804885710125198;MSE: 0.07582546666365131;MSE: 0.13043478260869565;MSE: 0.13043478260869565
PCA;Mean Clonotype Activation: 0.1089;T1;MSE- Clonotype mean: 0.05511732182275641;MSE- Clonotype mean: 0.06671285055402573;MSE- Clonotype mean: 0.05910985472344164;MSE- Clonotype mean: 0.06540583261318898;MSE- Clonotype mean: 0.08333105320163794;MSE- Clonotype mean: 0.06982378165022889;MSE- Clonotype mean: 0.0076460749842226505;MSE- Clonotype mean: 0.009450763516930789;MSE- Clonotype mean: 0.011958109299333875;MSE- Clonotype mean: 0.13332936161587058;MSE- Clonotype mean: 0.07804885710125198;MSE- Clonotype mean: 0.07582546666365131;MSE- Clonotype mean: 0.13043478260869565;MSE- Clonotype mean: 0.13043478260869565
